,name,document_frequency
0,jmp,33
1,mov,33
2,ret,33
3,push,33
4,sub,33
5,call,33
6,xor,33
7,pop,33
8,lea,33
9,cmp,33
10,jne,33
11,test,33
12,je,33
13,jl,33
14,add,33
15,neg,31
16,sbb,33
17,and,33
18,ja,33
19,inc,33
20,leave,30
21,sete,30
22,dec,33
23,or,33
24,adc,29
25,jbe,33
26,jle,32
27,shl,30
28,cdq,28
29,sar,31
30,setle,9
31,jge,33
32,imul,33
33,setne,27
34,movzx,29
35,jg,31
36,jb,33
37,jae,32
38,shr,32
39,div,26
40,js,31
41,rep,27
42,jns,28
43,not,29
44,movsd,24
45,int1,15
46,int3,32
47,nop,30
48,pushfd,26
49,popfd,16
50,cpuid,8
51,idiv,24
52,scasd,11
53,setg,18
54,repe,9
55,xchg,26
56,cld,23
57,ror,23
58,movsb,15
59,in,27
60,fdivr,10
61,std,23
62,jo,14
63,rcr,23
64,mul,26
65,iretd,10
66,shld,9
67,shrd,14
68,setge,12
69,movsx,27
70,jecxz,14
71,repne,17
72,stosb,18
73,stosd,25
74,bts,16
75,bt,16
76,lock,17
77,fiadd,10
78,outsd,11
79,ljmp,14
80,lcall,14
81,daa,12
82,movaps,3
83,das,13
84,jp,21
85,jnp,19
86,aaa,12
87,fisub,6
88,fimul,11
89,aas,10
90,outsb,12
91,fadd,20
92,ficom,6
93,bound,10
94,aam,13
95,loope,9
96,movups,6
97,out,19
98,wait,20
99,pushal,16
100,popal,11
101,fcom,14
102,insd,10
103,arpl,14
104,insb,14
105,movhps,3
106,lds,11
107,lodsb,11
108,sahf,18
109,cwde,22
110,fld,23
111,clc,17
112,cmpsd,12
113,lodsd,9
114,scasb,10
115,maxps,3
116,rol,17
117,les,13
118,into,10
119,aad,8
120,salc,9
121,xlatb,14
122,fild,18
123,sal,12
124,loop,13
125,hlt,14
126,cmc,11
127,stc,12
128,cli,11
129,sti,10
130,jno,11
131,lar,4
132,lahf,13
133,sgdt,4
134,ficomp,5
135,enter,13
136,movq,10
137,cmpsb,11
138,loopne,12
139,lsl,4
140,retf,11
141,fist,5
142,fmul,21
143,prefetcht2,1
144,rcl,10
145,fsubr,19
146,fidiv,9
147,int,14
148,minps,2
149,movlps,3
150,fbld,4
151,monitor,1
152,smsw,2
153,fcomp,21
154,fstp,22
155,ucomiss,4
156,ud2,3
157,outsw,8
158,popaw,8
159,wrmsr,3
160,cmovae,8
161,sldt,8
162,fsub,14
163,verw,1
164,fdiv,15
165,lldt,1
166,fxch,14
167,fldln2,2
168,fcomi,3
169,fsqrt,6
170,fcmovu,3
171,fcmovnu,3
172,fcmove,1
173,fnstsw,19
174,frstor,4
175,fidivr,6
176,fstpnce,3
177,fdivp,6
178,fisttp,5
179,fcmovnb,3
180,fpatan,1
181,fyl2xp1,1
182,fldenv,4
183,fcmovb,2
184,fcmovbe,2
185,ffree,4
186,fcos,6
187,fnstcw,19
188,cmovns,6
189,bnd,3
190,fdecstp,1
191,fcmovne,1
192,fucomp,7
193,cmpps,1
194,setno,1
195,fptan,3
196,cmovl,2
197,fistp,17
198,fcompp,10
199,fbstp,6
200,sysenter,1
201,fst,19
202,fnstenv,3
203,fnsave,4
204,fcomip,3
205,fldcw,18
206,fisubr,5
207,setp,1
208,fdivrp,14
209,divps,2
210,syscall,1
211,pmaddwd,2
212,pushaw,2
213,fmulp,16
214,xrelease,1
215,packsswb,1
216,fucomip,4
217,setl,17
218,fucomi,4
219,psrad,2
220,fcmovnbe,1
221,cvtps2pi,1
222,fincstp,2
223,ffreep,3
224,faddp,16
225,fsubrp,9
226,scasw,1
227,paddd,2
228,minss,1
229,xadd,2
230,pmulhw,2
231,xabort,1
232,wbinvd,3
233,cmovno,7
234,fld1,16
235,xacquire,2
236,emms,1
237,comiss,1
238,paddb,1
239,andps,5
240,punpcklwd,4
241,pavgb,1
242,movd,6
243,ud0,1
244,vandps,1
245,fxtract,1
246,pcmpgtw,1
247,vpsubq,1
248,fucom,5
249,cmovbe,3
250,sidt,2
251,vmovups,1
252,fsetpm,1
253,clts,2
254,shufps,2
255,fnop,1
256,vsqrtsd,1
257,vcvtsd2ss,1
258,vmulsd,1
259,xbegin,1
260,prefetchw,3
261,movntq,1
262,setbe,3
263,cmovg,2
264,orps,2
265,movnti,1
266,movsw,16
267,sqrtps,1
268,pand,3
269,pminsw,1
270,cmovb,7
271,rsqrtps,1
272,fsin,2
273,femms,2
274,cvtpi2ps,1
275,psubsb,1
276,fyl2x,2
277,lgs,1
278,btr,6
279,verr,1
280,pshufw,1
281,vpmaxsw,1
282,bswap,4
283,psubd,4
284,vmovss,1
285,vmread,1
286,punpcklbw,4
287,ud2b,1
288,fsubp,10
289,bsr,4
290,cmpxchg,1
291,cmovs,3
292,feni8087_nop,1
293,lfs,1
294,sysret,3
295,cmovnp,1
296,psubw,2
297,pmullw,1
298,ftst,3
299,pmaxsw,3
300,vcmppd,1
301,fsincos,1
302,frndint,12
303,cvtps2pd,1
304,pxor,12
305,ltr,2
306,fscale,6
307,xrstor,1
308,pinsrw,2
309,bsf,3
310,fabs,10
311,unpcklps,2
312,cmovo,4
313,btc,3
314,rsm,1
315,por,2
316,punpckhbw,2
317,paddsw,1
318,vminps,1
319,fnclex,14
320,paddw,2
321,cmovge,1
322,vmaxsd,1
323,pextrw,2
324,prefetcht0,1
325,vshufpd,1
326,insw,2
327,cmpsw,1
328,psrld,1
329,invd,4
330,packuswb,3
331,pushf,1
332,pandn,1
333,cvttps2pi,1
334,cbw,1
335,vandnps,2
336,movmskps,1
337,sets,4
338,pi2fw,1
339,cmovle,2
340,psubb,1
341,fninit,6
342,str,5
343,psubq,2
344,lgdt,1
345,fprem1,2
346,fldl2t,1
347,stmxcsr,10
348,popf,1
349,pmaxub,2
350,addps,1
351,punpckhdq,1
352,psubusb,1
353,kunpckbw,1
354,fchs,14
355,jcxz,1
356,punpckldq,2
357,psraw,1
358,fldpi,9
359,maskmovq,1
360,setnp,1
361,vmaxpd,1
362,pi2fd,1
363,cmovp,1
364,psllw,1
365,psrlw,1
366,subps,1
367,cwd,2
368,cmova,2
369,setae,4
370,pslld,1
371,stosw,8
372,paddsb,2
373,vmwrite,2
374,iret,1
375,cmove,6
376,unpckhps,1
377,fucompp,9
378,pcmpgtb,1
379,rdtsc,2
380,rdmsr,2
381,lmsw,1
382,lodsw,1
383,vpacksswb,1
384,vhaddps,1
385,seto,5
386,mulps,1
387,cmovne,6
388,psadbw,2
389,pminub,1
390,vpsllq,1
391,vpcmpgtw,1
392,vdivsd,1
393,pmuludq,1
394,psrlq,5
395,rdpmc,1
396,pcmpeqb,4
397,vcvttsd2si,1
398,vpshlq,1
399,psubusw,1
400,andnps,1
401,pause,1
402,vpand,1
403,vpsubusb,1
404,vpsubsw,1
405,vcvtdq2pd,1
406,sysexit,2
407,prefetchnta,1
408,fxam,7
409,vpmulhw,1
410,setb,11
411,fldz,18
412,fprem,3
413,paddusw,1
414,vpaddusw,1
415,paddusb,2
416,movlhps,3
417,vpaddsb,1
418,pcmpeqd,2
419,vpsubb,1
420,vmaxss,1
421,psubsw,1
422,rcpps,2
423,pcmpeqw,3
424,pmovmskb,4
425,fxrstor,1
426,pavgw,2
427,vpcmpgtd,1
428,invlpg,1
429,psllq,4
430,vdivps,1
431,fdisi8087_nop,1
432,pcmpgtd,2
433,f2xm1,6
434,vpsubusw,1
435,seta,8
436,packssdw,1
437,vmaxps,1
438,vcmpsd,1
439,setns,3
440,vpmuludq,1
441,movdqa,10
442,ldmxcsr,7
443,cvttsd2si,6
444,movapd,5
445,lss,2
446,andpd,3
447,ucomisd,3
448,cmpnlepd,1
449,addsd,2
450,xorps,3
451,movlpd,3
452,fldl2e,3
453,cmpltpd,2
454,subsd,2
455,orpd,2
456,vpsubw,1
457,cmpxchg8b,1
458,paddq,1
459,movdqu,2
460,palignr,2
461,pshuflw,2
462,pshufd,3
463,pcmpistri,2
464,mulsd,1
465,cvtdq2pd,1
466,addpd,1
467,unpcklpd,1
468,xorpd,1
469,cvtsd2si,1
470,mulpd,1
471,divsd,1
472,fldlg2,1
473,subpd,1
474,unpckhpd,1
